DPC/ISR Enter Time (s),Type,Duration (Fragmented) (ms)
"66,981787900",DPC,"0,007600"
"67,462785700",Interrupt,"0,003100"
"67,462790000",DPC,"0,012300"
"67,481797500",Interrupt,"0,003700"
"67,481818300",DPC,"0,007900"
"67,962785900",Interrupt,"0,002700"
"67,962789700",DPC,"0,012200"
"67,981812100",Interrupt,"0,003500"
"67,981832400",DPC,"0,009400"
"68,462786600",Interrupt,"0,003100"
"68,462791100",DPC,"0,011700"
"68,481786300",Interrupt,"0,002300"
"68,481789800",DPC,"0,007800"
"68,962783000",Interrupt,"0,002600"
"68,962786800",DPC,"0,011600"
"68,981797000",Interrupt,"0,001900"
"68,981856200",DPC,"0,012500"
"69,462787800",Interrupt,"0,003100"
"69,462792100",DPC,"0,013400"
"69,481788600",Interrupt,"0,002200"
"69,481797600",DPC,"0,011200"
"69,962787700",Interrupt,"0,002800"
"69,962791600",DPC,"0,012000"
"69,981796200",Interrupt,"0,002900"
"69,981815200",DPC,"0,008000"
"70,462788600",Interrupt,"0,003100"
"70,462792900",DPC,"0,011800"
"70,481789300",Interrupt,"0,002200"
"70,481792600",DPC,"0,008100"
"70,962788700",Interrupt,"0,002600"
"70,962792400",DPC,"0,011900"
"70,981788900",Interrupt,"0,003600"
"70,981799100",DPC,"0,007000"
"71,462789300",Interrupt,"0,002900"
"71,462793400",DPC,"0,014000"
"71,481789000",Interrupt,"0,002500"
"71,481792800",DPC,
"71,962789800",Interrupt,"0,003000"
"71,962793900",DPC,"0,012100"
"71,981789600",Interrupt,"0,002300"
"71,981793000",DPC,"0,007500"
"72,462790200",Interrupt,"0,002900"
"72,462794200",DPC,"0,011900"
"72,481790300",Interrupt,"0,002200"
"72,481793700",DPC,"0,006900"
"72,962791600",Interrupt,"0,003000"
"72,962795900",DPC,"0,012100"
"72,981790700",Interrupt,"0,002200"
"72,981794000",DPC,"0,008400"
"73,462791200",Interrupt,"0,003100"
"73,462795500",DPC,"0,013200"
"73,481791000",Interrupt,"0,002400"
"73,481794600",DPC,"0,007600"
"73,962791600",Interrupt,"0,002800"
"73,962795600",DPC,"0,011900"
"73,981791400",Interrupt,"0,002400"
"73,981795100",DPC,"0,008000"
"74,462792200",Interrupt,"0,003100"
"74,462796400",DPC,"0,012200"
"74,481791900",Interrupt,"0,002100"
"74,481795100",DPC,"0,007300"
"74,962792900",Interrupt,"0,002600"
"74,962828900",DPC,"0,011900"
"74,981792600",Interrupt,"0,002200"
"74,981795900",DPC,"0,007700"
"75,462793100",Interrupt,"0,003000"
"75,462797300",DPC,"0,013100"
"75,481793100",Interrupt,"0,002100"
"75,481796300",DPC,
"75,962793600",Interrupt,"0,002800"
"75,962797600",DPC,"0,011800"
"75,981793700",Interrupt,"0,002100"
"75,981797000",DPC,"0,007600"
"76,462794100",Interrupt,"0,002800"
"76,462798100",DPC,"0,011900"
"76,481794100",Interrupt,"0,002200"
"76,481797500",DPC,"0,008200"
"76,962794800",Interrupt,"0,002900"
"76,962798800",DPC,"0,011500"
"76,981795500",Interrupt,"0,002700"
"76,981799400",DPC,"0,010600"
"77,462795100",Interrupt,"0,002800"
"77,462799100",DPC,"0,012000"
