DPC/ISR Enter Time (s),Type,Duration (Fragmented) (ms)
"76,983307800",Interrupt,"0,003100"
"76,983312000",DPC,"0,013000"
"77,464308400",Interrupt,"0,004200"
"77,464313700",DPC,"0,029400"
"77,483308100",Interrupt,"0,003300"
"77,483312700",DPC,"0,014900"
"77,964309000",Interrupt,"0,004600"
"77,964314800",DPC,"0,028900"
"77,983324900",Interrupt,"0,003900"
"77,983345200",DPC,"0,014200"
"78,464310400",Interrupt,"0,003700"
"78,464315400",DPC,"0,027700"
"78,483309400",Interrupt,"0,003000"
"78,483313600",DPC,"0,015000"
"78,964310900",Interrupt,"0,004100"
"78,964316200",DPC,"0,028400"
"78,983310200",Interrupt,"0,002700"
"78,983314100",DPC,"0,014800"
"79,464310200",Interrupt,"0,004200"
"79,464315600",DPC,"0,029600"
"79,483310100",Interrupt,"0,003000"
"79,483314300",DPC,"0,016700"
"79,964310600",Interrupt,"0,004200"
"79,964316000",DPC,
"79,983310700",Interrupt,"0,003000"
"79,983314900",DPC,"0,015300"
"80,464311200",Interrupt,"0,004600"
"80,464332500",DPC,
"80,483311200",Interrupt,"0,003000"
"80,483315400",DPC,"0,015600"
"80,964343400",Interrupt,"0,005100"
"80,964383600",DPC,"0,029800"
"80,983311600",Interrupt,"0,002700"
"80,983315500",DPC,"0,014700"
"81,464312400",Interrupt,"0,004400"
"81,464318000",DPC,"0,029200"
"81,483312000",Interrupt,"0,005500"
"81,483321500",DPC,"0,024000"
"81,964313100",Interrupt,"0,004300"
"81,964318600",DPC,"0,028400"
"81,983312600",Interrupt,"0,002700"
"81,983316500",DPC,"0,015200"
"82,464313300",Interrupt,"0,004400"
"82,464334700",DPC,"0,025300"
"82,483313300",Interrupt,"0,003000"
"82,483317500",DPC,"0,014400"
"82,964313700",Interrupt,"0,004100"
"82,964319000",DPC,
"82,983313600",Interrupt,"0,003400"
"82,983318200",DPC,"0,014700"
"83,464314200",Interrupt,"0,004200"
"83,464319500",DPC,
"83,483314100",Interrupt,"0,005300"
"83,483337000",DPC,"0,013500"
"83,964314700",Interrupt,"0,004300"
"83,964320300",DPC,"0,028900"
"83,983314100",Interrupt,"0,002700"
"83,983318000",DPC,"0,014800"
"84,464314900",Interrupt,"0,004300"
"84,464320400",DPC,"0,029200"
"84,483315200",Interrupt,"0,002800"
"84,483319200",DPC,"0,014000"
"84,964316000",Interrupt,"0,003700"
"84,964320900",DPC,"0,028500"
"84,983315300",Interrupt,"0,002900"
"84,983319300",DPC,"0,013000"
"85,464317100",Interrupt,"0,004800"
"85,464323000",DPC,"0,027900"
"85,483315900",Interrupt,"0,003000"
"85,483320100",DPC,"0,014800"
"85,964316800",Interrupt,"0,004500"
"85,964322500",DPC,"0,028900"
"85,983317000",Interrupt,"0,004500"
"85,983324000",DPC,"0,025700"
"86,464317100",Interrupt,"0,004600"
"86,464322900",DPC,"0,029200"
"86,483316900",Interrupt,"0,002900"
"86,483320900",DPC,"0,015500"
"86,964317400",Interrupt,"0,004300"
"86,964322900",DPC,"0,029200"
"86,983341300",Interrupt,"0,004300"
"86,983370400",DPC,"0,023100"
"87,464318100",Interrupt,"0,004400"
"87,464323600",DPC,"0,029300"
"87,483319800",Interrupt,"0,002700"
"87,483342200",DPC,"0,016500"
"87,964318400",Interrupt,"0,004800"
"87,964324700",DPC,"0,036900"
"87,983318500",Interrupt,"0,003500"
"87,983323200",DPC,"0,016900"
"88,464319100",Interrupt,"0,004300"
"88,464341400",DPC,"0,025800"
"88,483318900",Interrupt,"0,003200"
"88,483323300",DPC,"0,015100"
"88,964319600",Interrupt,"0,005600"
"88,964326500",DPC,"0,035500"
"88,983319500",Interrupt,"0,003400"
"88,983324100",DPC,"0,018500"
"89,464320000",Interrupt,"0,004400"
"89,464325500",DPC,"0,028900"
"89,483319900",Interrupt,"0,003000"
"89,483324100",DPC,"0,016900"
"89,964320300",Interrupt,"0,004200"
"89,964325700",DPC,
"89,983320200",Interrupt,"0,003200"
"89,983324600",DPC,"0,018700"
"90,464321000",Interrupt,"0,004300"
"90,464326500",DPC,"0,028800"
"90,483320700",Interrupt,"0,002800"
"90,483340600",DPC,"0,014200"
"90,964321100",Interrupt,"0,004400"
"90,964327200",DPC,
"90,983321200",Interrupt,"0,003500"
"90,983325900",DPC,"0,016600"
"91,464321800",Interrupt,"0,004300"
"91,464335700",DPC,"0,024400"
"91,483322400",Interrupt,"0,004700"
"91,483334200",DPC,"0,020400"
"91,964323800",Interrupt,"0,005100"
"91,964330000",DPC,"0,027200"
"91,983322100",Interrupt,"0,003300"
"91,983326500",DPC,"0,014900"
"92,464323000",Interrupt,"0,004300"
"92,464328500",DPC,"0,028300"
"92,483322600",Interrupt,"0,002400"
"92,483326100",DPC,"0,011700"
